asset_id,portfolio,portfolio_type,asset_group,name,type,business_category,owner,municipality_anchor,price_area,lat,lon,annual_consumption_mwh,base_kw,peak_kw,flex_kw,profile,h00,h01,h02,h03,h04,h05,h06,h07,h08,h09,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
ENT-DEMO-0023,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #23,business_load,bakery,Entelios customer demo,Fyresdal,NO2,59.366293,8.401523,274.7,31.4,148.0,30.2,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0024,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #24,business_load,bakery,Entelios customer demo,Seljord,NO2,59.377466,8.439005,674.7,77.0,116.8,16.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0025,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #25,business_load,bakery,Entelios customer demo,Seljord,NO2,59.489627,8.538884,616.1,70.3,119.0,23.6,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0026,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #26,business_load,bakery,Entelios customer demo,Seljord,NO2,59.481751,8.710526,354.0,40.4,110.5,13.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0027,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #27,business_load,bakery,Entelios customer demo,Seljord,NO2,59.481645,8.83972,344.9,39.4,176.6,25.8,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0028,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #28,business_load,bakery,Entelios customer demo,Notodden,NO2,59.525044,9.00311,459.1,52.4,60.6,9.3,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0029,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #29,business_load,bakery,Entelios customer demo,Notodden,NO2,59.506512,9.057118,545.4,62.3,153.0,41.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0030,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #30,business_load,bakery,Entelios customer demo,Notodden,NO2,59.555423,9.23876,561.9,64.1,57.1,8.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0031,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #31,business_load,bakery,Entelios customer demo,Notodden,NO2,59.590343,9.25949,769.5,87.8,59.8,10.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0032,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #32,business_load,bakery,Entelios customer demo,Notodden,NO2,59.597736,9.379185,660.0,75.3,91.9,26.9,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0033,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #33,business_load,bakery,Entelios customer demo,Kongsberg,NO2,59.61975,9.475477,310.9,35.5,149.5,32.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0034,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #34,business_load,bakery,Entelios customer demo,Kongsberg,NO2,59.605287,9.544248,687.9,78.5,88.5,25.4,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0035,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #35,business_load,bakery,Entelios customer demo,Kongsberg,NO2,59.660155,9.65067,563.9,64.4,82.6,23.6,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0036,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #36,business_load,bakery,Entelios customer demo,Kongsberg,NO2,59.710224,9.760982,608.9,69.5,65.2,15.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0037,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #37,business_load,bakery,Entelios customer demo,Kongsberg,NO2,59.662244,9.881382,422.8,48.3,145.2,35.8,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0038,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #38,business_load,bakery,Entelios customer demo,Drammen,NO2,59.727615,9.987904,693.6,79.2,162.7,29.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0039,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #39,business_load,bakery,Entelios customer demo,Drammen,NO1,59.753073,10.101949,365.1,41.7,149.9,24.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0040,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #40,business_load,bakery,Entelios customer demo,Drammen,NO1,59.750276,10.229362,478.9,54.7,103.2,21.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0041,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #41,business_load,bakery,Entelios customer demo,Drammen,NO1,59.757217,10.259856,410.7,46.9,110.7,15.0,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0042,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #42,business_load,bakery,Entelios customer demo,Drammen,NO1,59.766927,10.302605,609.5,69.6,166.5,27.9,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0043,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #43,business_load,bakery,Entelios customer demo,Asker,NO1,59.76631,10.385564,612.3,69.9,58.8,16.2,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0044,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #44,business_load,bakery,Entelios customer demo,Asker,NO1,59.834009,10.405534,369.1,42.1,152.5,21.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0045,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #45,business_load,bakery,Entelios customer demo,Asker,NO1,59.837036,10.427998,713.9,81.5,120.3,23.7,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0046,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #46,business_load,bakery,Entelios customer demo,Asker,NO1,59.844017,10.470013,767.9,87.7,121.1,14.8,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0047,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #47,business_load,bakery,Entelios customer demo,Asker,NO1,59.852578,10.578174,692.5,79.1,155.0,40.3,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0048,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #48,business_load,bakery,Entelios customer demo,Oslo,NO1,59.848249,10.612508,288.3,32.9,146.4,26.3,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0049,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #49,business_load,bakery,Entelios customer demo,Oslo,NO1,59.878154,10.713383,270.2,30.8,142.0,38.5,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0050,Entelios Kristiansand-Oslo Demo,business_consumption,Bakeries,Bakeries #50,business_load,bakery,Entelios customer demo,Oslo,NO1,59.91225,10.757505,618.6,70.6,151.5,35.1,bakery_morning_heat,0.5702,0.622,0.7775,1.1404,1.6069,1.9179,1.8143,1.5032,1.2441,1.0886,0.9849,0.933,0.8812,0.8812,0.933,0.9849,1.0367,0.9849,0.8812,0.7775,0.6739,0.622,0.5702,0.5702
ENT-DEMO-0051,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #1,business_load,school,Entelios customer demo,Kristiansand,NO2,58.135585,7.999645,703.5,80.3,407.9,87.0,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0052,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #2,business_load,school,Entelios customer demo,Kristiansand,NO2,58.193751,7.939065,989.3,112.9,534.1,71.2,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0053,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #3,business_load,school,Entelios customer demo,Kristiansand,NO2,58.222033,7.940179,1134.7,129.5,382.2,64.4,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0054,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #4,business_load,school,Entelios customer demo,Vennesla,NO2,58.216631,8.001891,419.0,47.8,502.2,91.7,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0055,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #5,business_load,school,Entelios customer demo,Vennesla,NO2,58.220364,7.950161,1073.2,122.5,405.6,49.1,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0056,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #6,business_load,school,Entelios customer demo,Vennesla,NO2,58.27378,7.92699,1126.4,128.6,627.7,68.5,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0057,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #7,business_load,school,Entelios customer demo,Vennesla,NO2,58.317776,7.96589,1300.1,148.4,491.5,85.5,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0058,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #8,business_load,school,Entelios customer demo,Vennesla,NO2,58.4053,7.878536,1253.9,143.1,300.2,66.5,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
ENT-DEMO-0059,Entelios Kristiansand-Oslo Demo,business_consumption,Schools,Schools #9,business_load,school,Entelios customer demo,Evje,NO2,58.438482,7.867417,1332.2,152.1,277.6,29.3,school_weekday_daytime,0.4294,0.4049,0.3926,0.3926,0.4417,0.6135,1.0429,1.5337,1.9018,2.0245,1.9632,1.8405,1.7178,1.6564,1.5337,1.2883,0.9816,0.7607,0.6135,0.5521,0.5153,0.4908,0.4663,0.4417
